gene_name	panel_count	gene_synonyms	gene_description
TP53	32	BCC7|LFS1|P53|TRP53	tumor protein p53
KRAS	32	C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RALD|RASK2	Kirsten rat sarcoma viral oncogene homolog
KIT	31	C-Kit|CD117|PBT|SCFR	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
PTEN	30	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	phosphatase and tensin homolog
RET	30	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1|RET51	ret proto-oncogene
ATM	30	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	ATM serine/threonine kinase
MET	30	AUTS9|DFNB97|HGFR|RCCP2|c-Met	MET proto-oncogene, receptor tyrosine kinase
NRAS	30	ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6	neuroblastoma RAS viral (v-ras) oncogene homolog
PIK3CA	29	CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|p110-alpha	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
ALK	29	CD246|NBLST3	anaplastic lymphoma receptor tyrosine kinase
CDKN2A	29	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16	cyclin-dependent kinase inhibitor 2A
AKT1	29	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	v-akt murine thymoma viral oncogene homolog 1
BRAF	29	B-RAF1|BRAF1|NS7|RAFB1	B-Raf proto-oncogene, serine/threonine kinase
STK11	28	LKB1|PJS|hLKB1	serine/threonine kinase 11
CDH1	28	Arc-1|CD324|CDHE|ECAD|LCAM|UVO	cadherin 1, type 1
APC	28	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46	adenomatous polyposis coli
FLT3	28	CD135|FLK-2|FLK2|STK1	fms-related tyrosine kinase 3
ERBB2	28	CD340|HER-2|HER-2/neu|HER2|MLN 19|NEU|NGL|TKR1	erb-b2 receptor tyrosine kinase 2
PTPN11	28	BPTP3|CFC|JMML|METCDS|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2	protein tyrosine phosphatase, non-receptor type 11
VHL	28	HRCA1|RCA1|VHL1|pVHL	von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase
JAK3	27	JAK-3|JAK3_HUMAN|JAKL|L-JAK|LJAK	Janus kinase 3
EGFR	27	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	epidermal growth factor receptor
JAK2	27	JTK10|THCYT3	Janus kinase 2
FGFR2	27	BBDS|BEK|BFR-1|CD332|CEK3|CFD1|ECT1|JWS|K-SAM|KGFR|TK14|TK25	fibroblast growth factor receptor 2
ABL1	27	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase
MLH1	27	COCA2|FCC2|HNPCC|HNPCC2|hMLH1	mutL homolog 1
SMAD4	26	DPC4|JIP|MADH4|MYHRS	SMAD family member 4
PDGFRA	26	CD140A|PDGFR-2|PDGFR2|RHEPDGFRA	platelet-derived growth factor receptor, alpha polypeptide
RB1	26	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	retinoblastoma 1
NOTCH1	26	AOS5|AOVD1|TAN1|hN1	notch 1
IDH2	26	D2HGA2|ICD-M|IDH|IDHM|IDP|IDPM|mNADP-IDH	isocitrate dehydrogenase 2 (NADP+), mitochondrial
IDH1	26	HEL-216|HEL-S-26|IDCD|IDH|IDP|IDPC|PICD	isocitrate dehydrogenase 1 (NADP+)
FGFR1	26	BFGFR|CD331|CEK|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD|bFGF-R-1	fibroblast growth factor receptor 1
HRAS	26	C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|HRAS1|RASH1|p21ras	Harvey rat sarcoma viral oncogene homolog
